address,name,file,length
0xc04,gUnk_08000C04,data/data_08000360.o,0x5
0xc09,gUnk_08000C09,data/data_08000360.o,0x7
0xc10,gUnk_08000C10,data/data_08000360.o,0x6
0xc16,gUnk_08000C16,data/data_08000360.o,0xf
0xc25,gUnk_08000C25,data/data_08000360.o,0x2
0xc27,gUnk_08000C27,data/data_08000360.o,0x1
0xc28,gUnk_08000C28,data/data_08000360.o,0x1
0xc29,gUnk_08000C29,data/data_08000360.o,0xa
0xc33,gUnk_08000C33,data/data_08000360.o,0x1d
0xc50,gUnk_08000C50,data/data_08000360.o,0xc3
0xd13,gUnk_08000D13,data/data_08000360.o,0xdc
0xdef,gUnk_08000DEF,data/data_08000360.o,0x7
0xdf6,gUnk_08000DF6,data/data_08000360.o,0xa
0xe00,gUnk_08000E00,data/data_08000360.o,0x1
0xe01,gUnk_08000E01,data/data_08000360.o,0x1
0xe02,gUnk_08000E02,data/data_08000360.o,0x1
0xe03,gUnk_08000E03,data/data_08000360.o,0x1d
0xe20,gUnk_08000E20,data/data_08000360.o,0x6
0xe26,gUnk_08000E26,data/data_08000360.o,0x17
0xe3d,gUnk_08000E3D,data/data_08000360.o,0x7
0xe44,sub_08000E44,asm/code_08000E44.o,0xc
0xe50,Random,asm/code_08000E44.o,0x12
0xe62,sub_08000E62,asm/code_08000E44.o,0x30
0xe92,sub_08000E92,asm/code_08000E44.o,0x4
0xe96,LoadResourceAsync,asm/code_08000E44.o,0x4a
0xee0,__divsi3,asm/libgcc.o,0x8
0xee8,__modsi3,asm/libgcc.o,0xa
0xef2,_call_via_r0,asm/libgcc.o,0x2
0xef4,_call_via_r1,asm/libgcc.o,0x2
0xef6,_call_via_r2,asm/libgcc.o,0x2
0xef8,_call_via_r3,asm/libgcc.o,0x2
0xefa,_call_via_r4,asm/libgcc.o,0x2
0xefc,_call_via_r5,asm/libgcc.o,0x2
0xefe,_call_via_r6,asm/libgcc.o,0x2
0xf00,_call_via_r7,asm/libgcc.o,0x2
0xf02,_call_via_r8,asm/libgcc.o,0x2
0xf04,_call_via_r9,asm/libgcc.o,0x2
0xf06,_call_via_sl,asm/libgcc.o,0x2
0xf08,_call_via_fp,asm/libgcc.o,0x2
0xf0a,_call_via_ip,asm/libgcc.o,0x2
0xf0c,_call_via_sp,asm/libgcc.o,0x2
0xf0e,_call_via_lr,asm/libgcc.o,0x2
0xf10,CheckBits,asm/code_08000F10.o,0x4
0xf14,sub_08000F14,asm/code_08000F10.o,0x18
0xf2c,sub_08000F2C,asm/code_08000F10.o,0x28
0xf54,gUnk_08000F54,data/data_08000F54.o,0x30
0xf84,gUnk_08000F84,data/data_08000F54.o,0x40
0xfc4,gUnk_08000FC4,data/data_08000F54.o,0x2d
0xff1,gUnk_08000FF1,data/data_08000F54.o,0x9
0xffa,gUnk_08000FFA,data/data_08000F54.o,0x6
0x1000,gUnk_08001000,data/data_08000F54.o,0x4
0x1004,gUnk_08001004,data/data_08000F54.o,0xc
0x1010,gUnk_08001010,data/data_08000F54.o,0xc
0x101c,gUnk_0800101C,data/data_08000F54.o,0x4
0x1020,gUnk_08001020,data/data_08000F54.o,0x5
0x1025,gUnk_08001025,data/data_08000F54.o,0xc
0x1031,gUnk_08001031,data/data_08000F54.o,0x13
0x1044,gUnk_08001044,data/data_08000F54.o,0xc
0x1050,gUnk_08001050,data/data_08000F54.o,0x34
0x1084,gUnk_08001084,data/data_08000F54.o,0x40
0x10c4,gUnk_080010C4,data/data_08000F54.o,0x33
0x10f7,gUnk_080010F7,data/data_08000F54.o,0xa
0x1101,gUnk_08001101,data/data_08000F54.o,0x3
0x1104,gUnk_08001104,data/data_08000F54.o,0x11
0x1115,gUnk_08001115,data/data_08000F54.o,0x2f
0x1144,gUnk_08001144,data/data_08000F54.o,0x2b
0x116f,gUnk_0800116F,data/data_08000F54.o,0x15
0x1184,gUnk_08001184,data/data_08000F54.o,0x40
0x11c4,EnemyUpdate,asm/code_080011C4.o,0x50
0x1214,sub_08001214,asm/code_080011C4.o,0x2e
0x1242,sub_08001242,asm/code_080011C4.o,0x4e
0x1290,sub_08001290,asm/code_080011C4.o,0xe
0x129e,EnemyFunctionHandler,asm/code_080011C4.o,0x2a
0x12c8,gUnk_080012C8,asm/code_080011C4.o,0x14
0x12dc,sub_080012DC,asm/code_080011C4.o,0x3c
0x1318,sub_08001318,asm/code_080011C4.o,0xc
0x1324,sub_08001324,asm/code_080011C4.o,0x4
0x1328,sub_08001328,asm/code_080011C4.o,0x4
0x132c,sub_0800132C,asm/code_080011C4.o,0x50
0x137c,gUnk_0800137C,asm/code_080011C4.o,0x4
0x1380,gUnk_08001380,asm/code_080011C4.o,0x74
0x13f4,gUnk_080013F4,asm/code_080011C4.o,0xc
0x1400,gUnk_08001400,asm/code_080011C4.o,0x6
0x1406,gUnk_08001406,asm/code_080011C4.o,0xa
0x1410,gUnk_08001410,asm/code_080011C4.o,0xc
0x141c,gUnk_0800141C,asm/code_080011C4.o,0x20
0x143c,gUnk_0800143C,asm/code_080011C4.o,0xe5
0x1521,gUnk_08001521,asm/code_080011C4.o,0x12
0x1533,gUnk_08001533,asm/code_080011C4.o,0xd
0x1540,gUnk_08001540,asm/code_080011C4.o,0x7c
0x15bc,gUnk_080015BC,asm/code_080011C4.o,0x35
0x15f1,gUnk_080015F1,asm/code_080011C4.o,0x2b
0x161c,gUnk_0800161C,asm/code_080011C4.o,0x1b
0x1637,gUnk_08001637,asm/code_080011C4.o,0xc9
0x1700,gUnk_08001700,asm/code_080011C4.o,0x1
0x1701,gUnk_08001701,asm/code_080011C4.o,0x1
0x1702,gUnk_08001702,asm/code_080011C4.o,0x14
0x1716,gUnk_08001716,asm/code_080011C4.o,0x17
0x172d,gUnk_0800172D,asm/code_080011C4.o,0xd4
0x1801,gUnk_08001801,asm/code_080011C4.o,0xf
0x1810,gUnk_08001810,asm/code_080011C4.o,0x8
0x1818,gUnk_08001818,asm/code_080011C4.o,0x27
0x183f,gUnk_0800183F,asm/code_080011C4.o,0x5
0x1844,gUnk_08001844,asm/code_080011C4.o,0x6
0x184a,gUnk_0800184A,asm/code_080011C4.o,0x6
0x1850,gUnk_08001850,asm/code_080011C4.o,0x10
0x1860,gUnk_08001860,asm/code_080011C4.o,0x40
0x18a0,gUnk_080018A0,asm/code_080011C4.o,0x4
0x18a4,gUnk_080018A4,asm/code_080011C4.o,0x5e
0x1902,gUnk_08001902,asm/code_080011C4.o,0xf
0x1911,gUnk_08001911,asm/code_080011C4.o,0xb
0x191c,gUnk_0800191C,asm/code_080011C4.o,0x4f
0x196b,gUnk_0800196B,asm/code_080011C4.o,0x15
0x1980,gUnk_08001980,asm/code_080011C4.o,0x98
0x1a18,gUnk_08001A18,asm/code_080011C4.o,0x4
0x1a1c,gUnk_08001A1C,asm/code_080011C4.o,0x60
0x1a7c,gUnk_08001A7C,asm/code_080011C4.o,0x1e0
0x1c5c,gUnk_08001C5C,asm/code_080011C4.o,0x6
0x1c62,gUnk_08001C62,asm/code_080011C4.o,0x6
0x1c68,gUnk_08001C68,asm/code_080011C4.o,0x6
0x1c6e,gUnk_08001C6E,asm/code_080011C4.o,0x6
0x1c74,gUnk_08001C74,asm/code_080011C4.o,0x6
0x1c7a,gUnk_08001C7A,asm/code_080011C4.o,0x6
0x1c80,gUnk_08001C80,asm/code_080011C4.o,0x6
0x1c86,gUnk_08001C86,asm/code_080011C4.o,0x6
0x1c8c,gUnk_08001C8C,asm/code_080011C4.o,0x6
0x1c92,gUnk_08001C92,asm/code_080011C4.o,0x6
0x1c98,gUnk_08001C98,asm/code_080011C4.o,0x6
0x1c9e,gUnk_08001C9E,asm/code_080011C4.o,0x2
0x1ca0,gUnk_08001CA0,asm/code_080011C4.o,0x4
0x1ca4,gUnk_08001CA4,asm/code_080011C4.o,0x6
0x1caa,gUnk_08001CAA,asm/code_080011C4.o,0x6
0x1cb0,gUnk_08001CB0,asm/code_080011C4.o,0x6
0x1cb6,gUnk_08001CB6,asm/code_080011C4.o,0x6
0x1cbc,gUnk_08001CBC,asm/code_080011C4.o,0x6
0x1cc2,gUnk_08001CC2,asm/code_080011C4.o,0x6
0x1cc8,gUnk_08001CC8,asm/code_080011C4.o,0x6
0x1cce,gUnk_08001CCE,asm/code_080011C4.o,0x6
0x1cd4,gUnk_08001CD4,asm/code_080011C4.o,0x6
0x1cda,gUnk_08001CDA,asm/code_080011C4.o,0x6
0x1ce0,gUnk_08001CE0,asm/code_080011C4.o,0x6
0x1ce6,gUnk_08001CE6,asm/code_080011C4.o,0x6
0x1cec,gUnk_08001CEC,asm/code_080011C4.o,0x6
0x1cf2,gUnk_08001CF2,asm/code_080011C4.o,0x6
0x1cf8,gUnk_08001CF8,asm/code_080011C4.o,0x6
0x1cfe,gUnk_08001CFE,asm/code_080011C4.o,0x6
0x1d04,gUnk_08001D04,asm/code_080011C4.o,0x1
0x1d05,gUnk_08001D05,asm/code_080011C4.o,0x5
0x1d0a,gUnk_08001D0A,asm/code_080011C4.o,0x6
0x1d10,gUnk_08001D10,asm/code_080011C4.o,0x6
0x1d16,gUnk_08001D16,asm/code_080011C4.o,0x6
0x1d1c,gUnk_08001D1C,asm/code_080011C4.o,0x6
0x1d22,gUnk_08001D22,asm/code_080011C4.o,0x6
0x1d28,gUnk_08001D28,asm/code_080011C4.o,0x6
0x1d2e,gUnk_08001D2E,asm/code_080011C4.o,0x6
0x1d34,gUnk_08001D34,asm/code_080011C4.o,0x2
0x1d36,gUnk_08001D36,asm/code_080011C4.o,0x4
0x1d3a,gUnk_08001D3A,asm/code_080011C4.o,0x6
0x1d40,gUnk_08001D40,asm/code_080011C4.o,0x6
0x1d46,gUnk_08001D46,asm/code_080011C4.o,0x6
0x1d4c,gUnk_08001D4C,asm/code_080011C4.o,0x6
0x1d52,gUnk_08001D52,asm/code_080011C4.o,0x6
0x1d58,gUnk_08001D58,asm/code_080011C4.o,0x6
0x1d5e,gUnk_08001D5E,asm/code_080011C4.o,0x6
0x1d64,gUnk_08001D64,asm/code_080011C4.o,0x6
0x1d6a,gUnk_08001D6A,asm/code_080011C4.o,0x6
0x1d70,gUnk_08001D70,asm/code_080011C4.o,0x6
0x1d76,gUnk_08001D76,asm/code_080011C4.o,0x6
0x1d7c,gUnk_08001D7C,asm/code_080011C4.o,0x6
0x1d82,gUnk_08001D82,asm/code_080011C4.o,0x6
0x1d88,gUnk_08001D88,asm/code_080011C4.o,0x6
0x1d8e,gUnk_08001D8E,asm/code_080011C4.o,0x6
0x1d94,gUnk_08001D94,asm/code_080011C4.o,0x6
0x1d9a,gUnk_08001D9A,asm/code_080011C4.o,0x6
0x1da0,gUnk_08001DA0,asm/code_080011C4.o,0x6
0x1da6,gUnk_08001DA6,asm/code_080011C4.o,0x6
0x1dac,gUnk_08001DAC,asm/code_080011C4.o,0xc
0x1db8,gUnk_08001DB8,asm/code_080011C4.o,0x6
0x1dbe,gUnk_08001DBE,asm/code_080011C4.o,0x6
0x1dc4,gUnk_08001DC4,asm/code_080011C4.o,0x8
0x1dcc,gUnk_08001DCC,asm/code_080011C4.o,0x1e0
0x1fac,gUnk_08001FAC,asm/code_080011C4.o,0x8
0x1fb4,gUnk_08001FB4,asm/code_080011C4.o,0x8
0x1fbc,gUnk_08001FBC,asm/code_080011C4.o,0x7
0x1fc3,gUnk_08001FC3,asm/code_080011C4.o,0x7
0x1fca,gUnk_08001FCA,asm/code_080011C4.o,0x7
0x1fd1,gUnk_08001FD1,asm/code_080011C4.o,0x7
0x1fd8,gUnk_08001FD8,asm/code_080011C4.o,0x7
0x1fdf,gUnk_08001FDF,asm/code_080011C4.o,0x7
0x1fe6,gUnk_08001FE6,asm/code_080011C4.o,0x7
0x1fed,gUnk_08001FED,asm/code_080011C4.o,0xb
0x1ff8,gUnk_08001FF8,asm/code_080011C4.o,0x7
0x1fff,gUnk_08001FFF,asm/code_080011C4.o,0x1
0x2000,gUnk_08002000,asm/code_080011C4.o,0x5
0x2005,gUnk_08002005,asm/code_080011C4.o,0x1
0x2006,gUnk_08002006,asm/code_080011C4.o,0x7
0x200d,gUnk_0800200D,asm/code_080011C4.o,0x7
0x2014,gUnk_08002014,asm/code_080011C4.o,0x7
0x201b,gUnk_0800201B,asm/code_080011C4.o,0x7
