romA,addressA,romB,addressB,certainty,author,note,enabled
DEMO,0x1180dc,JP,0x11821c,5,octorock,Pointer at DEMO 0x2bb8,False
DEMO,0x1182a4,USA,0x118720,5,octorock,Pointer at DEMO 0x2bc8,False
DEMO,0x1182a4,JP,0x1183e4,5,octorock,Pointer at DEMO 0x2bc8,False
DEMO,0x1182ec,USA,0x118768,5,octorock,Pointer at DEMO 0x2bd8,False
DEMO,0x1182ec,JP,0x11842c,5,octorock,Pointer at DEMO 0x2bd8,False
DEMO,0x118304,USA,0x118780,5,octorock,Pointer at DEMO 0x2be8,False
DEMO,0x118304,JP,0x118444,5,octorock,Pointer at DEMO 0x2be8,False
DEMO,0x11830c,USA,0x118788,5,octorock,Pointer at DEMO 0x2bf8,False
DEMO,0x11830c,JP,0x11844c,5,octorock,Pointer at DEMO 0x2bf8,False
DEMO,0x118318,USA,0x118794,5,octorock,Pointer at DEMO 0x2c08,False
DEMO,0x118318,JP,0x118458,5,octorock,Pointer at DEMO 0x2c08,False
DEMO,0x118444,USA,0x1188c0,5,octorock,Pointer at DEMO 0x2c18,False
DEMO,0x118444,JP,0x118584,5,octorock,Pointer at DEMO 0x2c18,False
DEMO,0x1184cc,USA,0x118948,5,octorock,Pointer at DEMO 0x2c28,False
DEMO,0x1184cc,JP,0x11860c,5,octorock,Pointer at DEMO 0x2c28,False
DEMO,0x1184e4,USA,0x118960,5,octorock,Pointer at DEMO 0x2c38,False
DEMO,0x1184e4,JP,0x118624,5,octorock,Pointer at DEMO 0x2c38,False
DEMO,0x1184f8,USA,0x118974,5,octorock,Pointer at DEMO 0x2c48,False
DEMO,0x1184f8,JP,0x118638,5,octorock,Pointer at DEMO 0x2c48,False
USA,0x112dec,DEMO,0x112970,5,octorock,Pointer at USA 0x2b94,False
USA,0x112dec,JP,0x112ab0,5,octorock,Pointer at USA 0x2b94,False
USA,0x10a5b8,DEMO,0x10a13c,5,octorock,Pointer at USA 0x2ba4,False
USA,0x10a5b8,JP,0x10a27c,5,octorock,Pointer at USA 0x2ba4,False
USA,0x110b04,DEMO,0x110688,5,octorock,Pointer at USA 0x2bb4,False
USA,0x110b04,JP,0x1107c8,5,octorock,Pointer at USA 0x2bb4,False
USA,0x122c90,DEMO,0x12369c,5,octorock,Pointer at USA 0x2bc4,False
USA,0x122c90,JP,0x122954,5,octorock,Pointer at USA 0x2bc4,False
USA,0x122ce4,DEMO,0x1236f0,5,octorock,Pointer at USA 0x2bd4,False
USA,0x122ce4,JP,0x1229a8,5,octorock,Pointer at USA 0x2bd4,False
USA,0x122d04,DEMO,0x123710,5,octorock,Pointer at USA 0x2be4,False
USA,0x122d04,JP,0x1229c8,5,octorock,Pointer at USA 0x2be4,False
USA,0x122cbc,DEMO,0x1236c8,5,octorock,Pointer at USA 0x2bf4,False
USA,0x122cbc,JP,0x122980,5,octorock,Pointer at USA 0x2bf4,False
USA,0x10c7b4,DEMO,0x10c338,5,octorock,Pointer at USA 0x2c04,False
USA,0x10c7b4,JP,0x10c478,5,octorock,Pointer at USA 0x2c04,False
USA,0x12308c,DEMO,0x123a98,5,octorock,Pointer at USA 0x2c14,False
USA,0x12308c,JP,0x122d50,5,octorock,Pointer at USA 0x2c14,False
USA,0x10f98c,DEMO,0x10f510,5,octorock,Pointer at USA 0x2c24,False
USA,0x10f98c,JP,0x10f650,5,octorock,Pointer at USA 0x2c24,False
USA,0x10f9d0,DEMO,0x10f554,5,octorock,Pointer at USA 0x2c34,False
USA,0x10f9d0,JP,0x10f694,5,octorock,Pointer at USA 0x2c34,False
USA,0x10fa14,DEMO,0x10f598,5,octorock,Pointer at USA 0x2c44,False
USA,0x10fa14,JP,0x10f6d8,5,octorock,Pointer at USA 0x2c44,False
USA,0x10b4ec,DEMO,0x10b070,5,octorock,Pointer at USA 0x2c54,False
USA,0x10b4ec,JP,0x10b1b0,5,octorock,Pointer at USA 0x2c54,False
USA,0x118988,DEMO,0x11850c,5,octorock,Pointer at USA 0x2c58,False
USA,0x118988,JP,0x11864c,5,octorock,Pointer at USA 0x2c58,False
USA,0x2d4894,DEMO,0x2d52c4,5,octorock,Pointer at USA 0x31ac,False
USA,0x2d4894,JP,0x2d44c0,5,octorock,Pointer at USA 0x31ac,False
USA,0x10f814,DEMO,0x10f398,5,octorock,Pointer at USA 0x2c64,False
USA,0x10f814,JP,0x10f4d8,5,octorock,Pointer at USA 0x2c64,False
USA,0x118c00,DEMO,0x118784,5,octorock,Pointer at USA 0x2c68,False
USA,0x118c00,JP,0x1188c4,5,octorock,Pointer at USA 0x2c68,False
USA,0x110608,DEMO,0x11018c,5,octorock,Pointer at USA 0x2c74,False
USA,0x110608,JP,0x1102cc,5,octorock,Pointer at USA 0x2c74,False
USA,0x1106a8,DEMO,0x11022c,5,octorock,Pointer at USA 0x2c84,False
USA,0x1106a8,JP,0x11036c,5,octorock,Pointer at USA 0x2c84,False
USA,0x110710,DEMO,0x110294,5,octorock,Pointer at USA 0x2c94,False
USA,0x110710,JP,0x1103d4,5,octorock,Pointer at USA 0x2c94,False
USA,0x10f944,DEMO,0x10f4c8,5,octorock,Pointer at USA 0x2ca4,False
USA,0x10f944,JP,0x10f608,5,octorock,Pointer at USA 0x2ca4,False
USA,0x10fd6c,DEMO,0x10f8f0,5,octorock,Pointer at USA 0x2cb4,False
USA,0x10fd6c,JP,0x10fa30,5,octorock,Pointer at USA 0x2cb4,False
USA,0x10ca6c,DEMO,0x10c5f0,5,octorock,Pointer at USA 0x2cc4,False
USA,0x10ca6c,JP,0x10c730,5,octorock,Pointer at USA 0x2cc4,False
USA,0x10cb54,DEMO,0x10c6d8,5,octorock,Pointer at USA 0x2cd4,False
USA,0x10cb54,JP,0x10c818,5,octorock,Pointer at USA 0x2cd4,False
USA,0x10cf20,DEMO,0x10caa4,5,octorock,Pointer at USA 0x2ce4,False
USA,0x10cf20,JP,0x10cbe4,5,octorock,Pointer at USA 0x2ce4,False
USA,0x10abf8,DEMO,0x10a77c,5,octorock,Pointer at USA 0x2cf4,False
USA,0x10abf8,JP,0x10a8bc,5,octorock,Pointer at USA 0x2cf4,False
USA,0x110028,DEMO,0x10fbac,5,octorock,Pointer at USA 0x2d04,False
USA,0x110028,JP,0x10fcec,5,octorock,Pointer at USA 0x2d04,False
USA,0x1100e4,DEMO,0x10fc68,5,octorock,Pointer at USA 0x2d14,False
USA,0x1100e4,JP,0x10fda8,5,octorock,Pointer at USA 0x2d14,False
USA,0x110138,DEMO,0x10fcbc,5,octorock,Pointer at USA 0x2d24,False
USA,0x110138,JP,0x10fdfc,5,octorock,Pointer at USA 0x2d24,False
USA,0x110484,DEMO,0x110008,5,octorock,Pointer at USA 0x2d34,False
USA,0x110484,JP,0x110148,5,octorock,Pointer at USA 0x2d34,False
USA,0x10bd58,DEMO,0x10b8dc,5,octorock,Pointer at USA 0x2d44,False
USA,0x10bd58,JP,0x10ba1c,5,octorock,Pointer at USA 0x2d44,False
USA,0x10c1e4,DEMO,0x10bd68,5,octorock,Pointer at USA 0x2d64,False
USA,0x10c1e4,JP,0x10bea8,5,octorock,Pointer at USA 0x2d64,False
USA,0x10c868,DEMO,0x10c3ec,5,octorock,Pointer at USA 0x2d74,False
