rom_variant,address,points_to,certainty,author,note
DEMO,0x2f04,0x81138a0,5,octorock,
JP,0x2f04,0x81139e0,5,octorock,
USA,0x2f14,0x8113d60,5,octorock,
DEMO,0x2f14,0x81138e4,5,octorock,
JP,0x2f14,0x8113a24,5,octorock,
USA,0x2f24,0x8114098,5,octorock,
DEMO,0x2f24,0x8113c1c,5,octorock,
JP,0x2f24,0x8113d5c,5,octorock,
USA,0x2f34,0x811033c,5,octorock,
DEMO,0x2f34,0x810fec0,5,octorock,
JP,0x2f34,0x8110000,5,octorock,
USA,0x2f44,0x8114580,5,octorock,
DEMO,0x2f44,0x8114104,5,octorock,
JP,0x2f44,0x8114244,5,octorock,
USA,0x2f54,0x8111a2c,5,octorock,
DEMO,0x2f54,0x81115b0,5,octorock,
JP,0x2f54,0x81116f0,5,octorock,
USA,0x2f64,0x8111c18,5,octorock,
DEMO,0x2f64,0x811179c,5,octorock,
JP,0x2f64,0x81118dc,5,octorock,
USA,0x2f74,0x8111c18,5,octorock,
DEMO,0x2f74,0x811179c,5,octorock,
JP,0x2f74,0x81118dc,5,octorock,
USA,0x2f84,0x8111b60,5,octorock,
DEMO,0x2f84,0x81116e4,5,octorock,
JP,0x2f84,0x8111824,5,octorock,
USA,0x2f94,0x8110eac,5,octorock,
DEMO,0x2f94,0x8110a30,5,octorock,
JP,0x2f94,0x8110b70,5,octorock,
USA,0x2fa4,0x8114228,5,octorock,
DEMO,0x2fa4,0x8113dac,5,octorock,
JP,0x2fa4,0x8113eec,5,octorock,
USA,0x2fb4,0x812311c,5,octorock,
DEMO,0x2fb4,0x8123b28,5,octorock,
JP,0x2fb4,0x8122de0,5,octorock,
USA,0x2fd4,0x80cb438,5,octorock,
DEMO,0x2fd4,0x80cafbc,5,octorock,
JP,0x2fd4,0x80cb1d8,5,octorock,
USA,0x2fe4,0x80cb4fc,5,octorock,
DEMO,0x2fe4,0x80cb080,5,octorock,
JP,0x2fe4,0x80cb29c,5,octorock,
USA,0x2ff4,0x80cc69c,5,octorock,
DEMO,0x2ff4,0x80cc220,5,octorock,
JP,0x2ff4,0x80cc43c,5,octorock,
USA,0x3004,0x811ee20,5,octorock,
DEMO,0x3004,0x811f82c,5,octorock,
JP,0x3004,0x811eae4,5,octorock,
USA,0x3014,0x80cce64,5,octorock,
DEMO,0x3014,0x80cc9e8,5,octorock,
JP,0x3014,0x80ccc04,5,octorock,
USA,0x3024,0x80cdd64,5,octorock,
DEMO,0x3024,0x80cd8e8,5,octorock,
JP,0x3024,0x80cdb04,5,octorock,
USA,0x3034,0x80ce944,5,octorock,
DEMO,0x3034,0x80ce4c8,5,octorock,
JP,0x3034,0x80ce6e4,5,octorock,
USA,0x3044,0x80cf014,5,octorock,
DEMO,0x3044,0x80ceb98,5,octorock,
JP,0x3044,0x80cedb4,5,octorock,
USA,0x3054,0x80cf724,5,octorock,
DEMO,0x3054,0x80cf2a8,5,octorock,
JP,0x3054,0x80cf4c4,5,octorock,
USA,0x3064,0x8129f34,5,octorock,
DEMO,0x3064,0x812a984,5,octorock,
JP,0x3064,0x8129bf8,5,octorock,
USA,0x3074,0x80cfaf0,5,octorock,
DEMO,0x3074,0x80cf674,5,octorock,
JP,0x3074,0x80cf890,5,octorock,
USA,0x3084,0x80cf418,5,octorock,
DEMO,0x3084,0x80cef9c,5,octorock,
JP,0x3084,0x80cf1b8,5,octorock,
USA,0x3094,0x80d03b4,5,octorock,
DEMO,0x3094,0x80cff38,5,octorock,
JP,0x3094,0x80d0154,5,octorock,
USA,0x30a4,0x8129bc8,5,octorock,
DEMO,0x30a4,0x812a618,5,octorock,
JP,0x30a4,0x812988c,5,octorock,
USA,0x30b4,0x80d0558,5,octorock,
DEMO,0x30b4,0x80d00dc,5,octorock,
JP,0x30b4,0x80d02f8,5,octorock,
USA,0x30c4,0x80d058c,5,octorock,
DEMO,0x30c4,0x80d0110,5,octorock,
JP,0x30c4,0x80d032c,5,octorock,
USA,0x30d4,0x80d05e0,5,octorock,
DEMO,0x30d4,0x80d0164,5,octorock,
JP,0x30d4,0x80d0380,5,octorock,
USA,0x30e4,0x80d0634,5,octorock,
DEMO,0x30e4,0x80d01b8,5,octorock,
JP,0x30e4,0x80d03d4,5,octorock,
USA,0x30f4,0x80d1694,5,octorock,
DEMO,0x30f4,0x80d1218,5,octorock,
JP,0x30f4,0x80d1434,5,octorock,
USA,0x3104,0x80d0bc4,5,octorock,
DEMO,0x3104,0x80d0748,5,octorock,
JP,0x3104,0x80d0964,5,octorock,
USA,0x3114,0x80d0c88,5,octorock,
DEMO,0x3114,0x80d080c,5,octorock,
JP,0x3114,0x80d0a28,5,octorock,
USA,0x3124,0x80d0c0c,5,octorock,
DEMO,0x3124,0x80d0790,5,octorock,
JP,0x3124,0x80d09ac,5,octorock,
USA,0x3134,0x80d0cf4,5,octorock,
DEMO,0x3134,0x80d0878,5,octorock,
JP,0x3134,0x80d0a94,5,octorock,
USA,0x3144,0x80d1530,5,octorock,
DEMO,0x3144,0x80d10b4,5,octorock,
JP,0x3144,0x80d12d0,5,octorock,
USA,0x3154,0x80d11ac,5,octorock,
DEMO,0x3154,0x80d0d30,5,octorock,
JP,0x3154,0x80d0f4c,5,octorock,
USA,0x3164,0x8112ff4,5,octorock,
DEMO,0x3164,0x8112b78,5,octorock,
JP,0x3164,0x8112cb8,5,octorock,
USA,0x3174,0x8113024,5,octorock,
DEMO,0x3174,0x8112ba8,5,octorock,
JP,0x3174,0x8112ce8,5,octorock,
USA,0x3184,0x80d07ec,5,octorock,
DEMO,0x3184,0x80d0370,5,octorock,
JP,0x3184,0x80d058c,5,octorock,
USA,0x3194,0x80d1cbc,5,octorock,
DEMO,0x3194,0x80d1840,5,octorock,
JP,0x3194,0x80d1a5c,5,octorock,
USA,0x31a4,0x81214c8,5,octorock,
DEMO,0x31a4,0x8121ed4,5,octorock,
JP,0x31a4,0x812118c,5,octorock,
USA,0x31b4,0x812101c,5,octorock,
DEMO,0x31b4,0x8121a28,5,octorock,
JP,0x31b4,0x8120ce0,5,octorock,
